product_id,product_name,category,subcategory,unit_price,cost_price,supplier_name,stock_quantity,launch_date,product_rating,active_flag
P0021,Headset Model 021,Electronics,Electronics Sub-2,513.30,287.45,Prime Traders,23,2022-07-09,4.7,Y
P0022,Handbag Model 022,Fashion,Fashion Sub-3,530.60,302.44,Global Mart,36,2022-07-18,2.9,Y
P0023,Snacks Model 023,Grocery,Grocery Sub-4,547.90,317.78,Vertex Goods,49,2022-07-27,3.6,N
P0024,Cookware Model 024,Home,Home Sub-1,565.20,333.47,Metro Wholesale,62,2022-08-05,4.3,Y
P0025,Cricket Bat Model 025,Sports,Sports Sub-2,582.50,349.50,Nova Supply,75,2022-08-14,2.5,Y
P0026,Laptop Model 026,Electronics,Electronics Sub-3,599.80,365.88,Prime Traders,88,2022-08-23,3.2,Y
P0027,Shirt Model 027,Fashion,Fashion Sub-4,617.10,382.60,Global Mart,101,2022-09-01,3.9,Y
P0028,Rice Model 028,Grocery,Grocery Sub-1,634.40,399.67,Vertex Goods,114,2022-09-10,4.6,Y
P0029,Chair Model 029,Home,Home Sub-2,651.70,417.09,Metro Wholesale,127,2022-09-19,2.8,Y
P0030,Football Model 030,Sports,Sports Sub-3,669.00,434.85,Nova Supply,140,2022-09-28,3.5,Y
P0031,Monitor Model 031,Electronics,Electronics Sub-4,686.30,452.96,Prime Traders,0,2022-10-07,4.2,Y
P0032,Jeans Model 032,Fashion,Fashion Sub-1,703.60,471.41,Global Mart,166,2022-10-16,4.9,Y
P0033,Oil Model 033,Grocery,Grocery Sub-2,720.90,490.21,Vertex Goods,179,2022-10-25,3.1,Y
P0034,Table Model 034,Home,Home Sub-3,738.20,509.36,Metro Wholesale,192,2022-11-03,3.8,Y
P0035,Yoga Mat Model 035,Sports,Sports Sub-4,755.50,528.85,Nova Supply,205,2022-11-12,4.5,Y
P0036,Keyboard Model 036,Electronics,Electronics Sub-1,772.80,548.69,Prime Traders,218,2022-11-21,2.7,Y
P0037,Jacket Model 037,Fashion,Fashion Sub-2,790.10,568.87,Global Mart,231,2022-11-30,3.4,Y
P0038,Tea Model 038,Grocery,Grocery Sub-3,807.40,589.40,Vertex Goods,244,2022-12-09,4.1,Y
P0039,Lamp Model 039,Home,Home Sub-4,824.70,610.28,Metro Wholesale,7,2022-12-18,4.8,Y
P0040,Dumbbell Model 040,Sports,Sports Sub-1,842.00,463.10,Nova Supply,20,2022-12-27,3.0,Y
P0041,Mouse Model 041,Electronics,Electronics Sub-2,859.30,481.21,Prime Traders,33,2023-01-05,3.7,Y
P0042,Shoes Model 042,Fashion,Fashion Sub-3,876.60,499.66,Global Mart,46,2023-01-14,4.4,Y
P0043,Coffee Model 043,Grocery,Grocery Sub-4,893.90,518.46,Vertex Goods,59,2023-01-23,2.6,Y
P0044,Mixer Model 044,Home,Home Sub-1,911.20,537.61,Metro Wholesale,72,2023-02-01,3.3,Y
P0045,Tennis Racket Model 045,Sports,Sports Sub-2,928.50,557.10,Nova Supply,85,2023-02-10,4.0,Y
P0046,Headset Model 046,Electronics,Electronics Sub-3,945.80,576.94,Prime Traders,98,2023-02-19,4.7,N
P0047,Handbag Model 047,Fashion,Fashion Sub-4,963.10,597.12,Global Mart,111,2023-02-28,2.9,Y
P0048,Snacks Model 048,Grocery,Grocery Sub-1,980.40,617.65,Vertex Goods,124,2023-03-09,3.6,Y
P0049,Cookware Model 049,Home,Home Sub-2,997.70,638.53,Metro Wholesale,137,2023-03-18,4.3,Y
P0050,Cricket Bat Model 050,Sports,Sports Sub-3,1015.00,659.75,Nova Supply,150,2023-03-27,2.5,Y
P0051,Laptop Model 051,Electronics,Electronics Sub-4,1032.30,681.32,Prime Traders,163,2023-04-05,3.2,Y
P0052,Shirt Model 052,Fashion,Fashion Sub-1,1049.60,703.23,Global Mart,176,2023-04-14,3.9,Y
P0053,Rice Model 053,Grocery,Grocery Sub-2,1066.90,725.49,Vertex Goods,189,2023-04-23,4.6,Y
P0054,Chair Model 054,Home,Home Sub-3,1084.20,748.10,Metro Wholesale,202,2023-05-02,2.8,Y
P0055,Football Model 055,Sports,Sports Sub-4,1101.50,771.05,Nova Supply,215,2023-05-11,3.5,Y
P0056,Monitor Model 056,Electronics,Electronics Sub-1,1118.80,794.35,Prime Traders,228,2023-05-20,4.2,Y
P0057,Jeans Model 057,Fashion,Fashion Sub-2,1136.10,817.99,Global Mart,241,2023-05-29,4.9,Y
P0058,Oil Model 058,Grocery,Grocery Sub-3,1153.40,841.98,Vertex Goods,4,2023-06-07,3.1,Y
P0059,Table Model 059,Home,Home Sub-4,1170.70,866.32,Metro Wholesale,17,2023-06-16,3.8,Y
P0060,Yoga Mat Model 060,Sports,Sports Sub-1,1188.00,653.40,Nova Supply,30,2023-06-25,4.5,Y
P0061,Keyboard Model 061,Electronics,Electronics Sub-2,1205.30,674.97,Prime Traders,43,2023-07-04,2.7,Y
P0062,Jacket Model 062,Fashion,Fashion Sub-3,1222.60,696.88,Global Mart,0,2023-07-13,3.4,Y
P0063,Tea Model 063,Grocery,Grocery Sub-4,1239.90,719.14,Vertex Goods,69,2023-07-22,4.1,Y
P0064,Lamp Model 064,Home,Home Sub-1,1257.20,741.75,Metro Wholesale,82,2023-07-31,4.8,Y
P0065,Dumbbell Model 065,Sports,Sports Sub-2,1274.50,764.70,Nova Supply,95,2023-08-09,3.0,Y
P0066,Mouse Model 066,Electronics,Electronics Sub-3,1291.80,788.00,Prime Traders,108,2023-08-18,3.7,Y
P0067,Shoes Model 067,Fashion,Fashion Sub-4,1309.10,811.64,Global Mart,121,2023-08-27,4.4,Y
P0068,Coffee Model 068,Grocery,Grocery Sub-1,1326.40,835.63,Vertex Goods,134,2023-09-05,2.6,Y
P0069,Mixer Model 069,Home,Home Sub-2,1343.70,859.97,Metro Wholesale,147,2023-09-14,3.3,N
P0070,Tennis Racket Model 070,Sports,Sports Sub-3,1361.00,884.65,Nova Supply,160,2023-09-23,4.0,Y
P0071,Headset Model 071,Electronics,Electronics Sub-4,1378.30,909.68,Prime Traders,173,2023-10-02,4.7,Y
P0072,Handbag Model 072,Fashion,Fashion Sub-1,1395.60,935.05,Global Mart,186,2023-10-11,2.9,Y
P0073,Snacks Model 073,Grocery,Grocery Sub-2,1412.90,960.77,Vertex Goods,199,2023-10-20,3.6,Y
P0074,Cookware Model 074,Home,Home Sub-3,1430.20,986.84,Metro Wholesale,212,2023-10-29,4.3,Y
P0075,Cricket Bat Model 075,Sports,Sports Sub-4,1447.50,1013.25,Nova Supply,225,2023-11-07,2.5,Y
P0076,Laptop Model 076,Electronics,Electronics Sub-1,1464.80,1040.01,Prime Traders,238,2023-11-16,3.2,Y
P0077,Shirt Model 077,Fashion,Fashion Sub-2,1482.10,1067.11,Global Mart,1,2023-11-25,3.9,Y
P0078,Rice Model 078,Grocery,Grocery Sub-3,1499.40,1094.56,Vertex Goods,14,2023-12-04,4.6,Y
P0079,Chair Model 079,Home,Home Sub-4,1516.70,1122.36,Metro Wholesale,27,2023-12-13,2.8,Y
P0080,Football Model 080,Sports,Sports Sub-1,1534.00,843.70,Nova Supply,40,2023-12-22,3.5,Y
P0081,Monitor Model 081,Electronics,Electronics Sub-2,1551.30,868.73,Prime Traders,53,2023-12-31,4.2,Y
P0082,Jeans Model 082,Fashion,Fashion Sub-3,1568.60,894.10,Global Mart,66,2024-01-09,4.9,Y
P0083,Oil Model 083,Grocery,Grocery Sub-4,1585.90,919.82,Vertex Goods,79,2024-01-18,3.1,Y
P0084,Table Model 084,Home,Home Sub-1,1603.20,945.89,Metro Wholesale,92,2024-01-27,3.8,Y
P0085,Yoga Mat Model 085,Sports,Sports Sub-2,1620.50,972.30,Nova Supply,105,2024-02-05,4.5,Y
P0086,Keyboard Model 086,Electronics,Electronics Sub-3,1637.80,999.06,Prime Traders,118,2024-02-14,2.7,Y
P0087,Jacket Model 087,Fashion,Fashion Sub-4,1655.10,1026.16,Global Mart,131,2024-02-23,3.4,Y
P0088,Tea Model 088,Grocery,Grocery Sub-1,1672.40,1053.61,Vertex Goods,144,2024-03-03,4.1,Y
P0089,Lamp Model 089,Home,Home Sub-2,1689.70,,Metro Wholesale,157,2024-03-12,4.8,Y
P0090,Dumbbell Model 090,Sports,Sports Sub-3,1707.00,1109.55,Nova Supply,170,2024-03-21,3.0,Y
P0091,Mouse Model 091,Electronics,Electronics Sub-4,1724.30,1138.04,Prime Traders,183,2024-03-30,3.7,Y
P0092,Shoes Model 092,Fashion,Fashion Sub-1,1741.60,1166.87,Global Mart,196,2024-04-08,4.4,N
P0093,Coffee Model 093,Grocery,Grocery Sub-2,1758.90,1196.05,Vertex Goods,0,2024-04-17,2.6,Y
P0094,Mixer Model 094,Home,Home Sub-3,1776.20,1225.58,Metro Wholesale,222,2024-04-26,3.3,Y
P0095,Tennis Racket Model 095,Sports,Sports Sub-4,1793.50,1255.45,Nova Supply,235,2024-05-05,4.0,Y
P0096,Headset Model 096,Electronics,Electronics Sub-1,1810.80,1285.67,Prime Traders,248,2024-05-14,4.7,Y
P0097,Handbag Model 097,Fashion,Fashion Sub-2,NA,1316.23,Global Mart,11,2024-05-23,2.9,Y
P0098,Snacks Model 098,Grocery,Grocery Sub-3,1845.40,1347.14,Vertex Goods,24,2024-06-01,3.6,Y
P0099,Cookware Model 099,Home,Home Sub-4,1862.70,1378.40,Metro Wholesale,37,2024-06-10,4.3,Y
P0100,Cricket Bat Model 100,Sports,Sports Sub-1,1880.00,1034.00,Nova Supply,50,2024-06-19,2.5,Y
P0101,Laptop Model 101,Electronics,Electronics Sub-2,1897.30,1062.49,Prime Traders,63,2024-06-28,3.2,Y
P0102,Shirt Model 102,Fashion,Fashion Sub-3,1914.60,1091.32,Global Mart,76,2024-07-07,3.9,Y
P0103,Rice Model 103,Grocery,Grocery Sub-4,1931.90,1120.50,Vertex Goods,89,2024-07-16,4.6,Y
P0104,Chair Model 104,Home,Home Sub-1,1949.20,1150.03,Metro Wholesale,102,2024-07-25,2.8,Y
P0105,Football Model 105,Sports,Sports Sub-2,1966.50,1179.90,Nova Supply,115,2024-08-03,3.5,Y
P0106,Monitor Model 106,Electronics,Electronics Sub-3,1983.80,1210.12,Prime Traders,128,2024-08-12,4.2,Y
P0107,Jeans Model 107,Fashion,Fashion Sub-4,2001.10,1240.68,Global Mart,141,2024-08-21,4.9,Y
P0108,Oil Model 108,Grocery,Grocery Sub-1,2018.40,1271.59,Vertex Goods,154,2024-08-30,3.1,Y
P0109,Table Model 109,Home,Home Sub-2,2035.70,1302.85,Metro Wholesale,167,2024-09-08,3.8,Y
P0110,Yoga Mat Model 110,Sports,Sports Sub-3,2053.00,1334.45,Nova Supply,180,2024-09-17,4.5,Y
P0111,Keyboard Model 111,Electronics,Electronics Sub-4,2070.30,1366.40,Prime Traders,193,2024-09-26,2.7,Y
P0112,Jacket Model 112,Fashion,Fashion Sub-1,2087.60,1398.69,Global Mart,206,2024-10-05,3.4,Y
P0113,Tea Model 113,Grocery,Grocery Sub-2,2104.90,1431.33,Vertex Goods,219,2024-10-14,4.1,Y
P0114,Lamp Model 114,Home,Home Sub-3,2122.20,1464.32,Metro Wholesale,232,2024-10-23,4.8,Y
P0115,Dumbbell Model 115,Sports,Sports Sub-4,2139.50,1497.65,Nova Supply,245,2024-11-01,3.0,N
P0116,Mouse Model 116,Electronics,Electronics Sub-1,2156.80,1531.33,Prime Traders,8,2024-11-10,3.7,Y
P0117,Shoes Model 117,Fashion,Fashion Sub-2,2174.10,1565.35,Global Mart,21,2024-11-19,4.4,Y
P0118,Coffee Model 118,Grocery,Grocery Sub-3,2191.40,1599.72,Vertex Goods,34,2024-11-28,2.6,Y
P0119,Mixer Model 119,Home,Home Sub-4,2208.70,1634.44,Metro Wholesale,47,2024-12-07,3.3,Y
P0120,Tennis Racket Model 120,Sports,Sports Sub-1,2226.00,1224.30,Nova Supply,60,2024-12-16,4.0,Y
P0121,Headset Model 121,Electronics,Electronics Sub-2,2243.30,1256.25,Prime Traders,73,2024-12-25,4.7,Y
P0122,Handbag Model 122,Fashion,Fashion Sub-3,2260.60,1288.54,Global Mart,86,2025-01-03,2.9,Y
P0123,Snacks Model 123,Grocery,Grocery Sub-4,2277.90,1321.18,Vertex Goods,99,2025-01-12,3.6,Y
P0124,Cookware Model 124,Home,Home Sub-1,2295.20,1354.17,Metro Wholesale,0,2025-01-21,4.3,Y
P0125,Cricket Bat Model 125,Sports,Sports Sub-2,2312.50,1387.50,Nova Supply,125,2025-01-30,2.5,Y
P0126,Laptop Model 126,Electronics,Electronics Sub-3,2329.80,1421.18,Prime Traders,138,2025-02-08,3.2,Y
P0127,Shirt Model 127,Fashion,Fashion Sub-4,2347.10,1455.20,Global Mart,151,2025-02-17,3.9,Y
P0128,Rice Model 128,Grocery,Grocery Sub-1,2364.40,1489.57,Vertex Goods,164,2025-02-26,4.6,Y
P0129,Chair Model 129,Home,Home Sub-2,2381.70,1524.29,Metro Wholesale,177,2025-03-07,2.8,Y
P0130,Football Model 130,Sports,Sports Sub-3,2399.00,1559.35,Nova Supply,190,2025-03-16,3.5,Y
P0131,Monitor Model 131,Electronics,Electronics Sub-4,2416.30,1594.76,Prime Traders,203,2025-03-25,4.2,Y
P0132,Jeans Model 132,Fashion,Fashion Sub-1,2433.60,1630.51,Global Mart,216,2025-04-03,4.9,Y
P0133,Oil Model 133,Grocery,Grocery Sub-2,2450.90,1666.61,Vertex Goods,229,2025-04-12,3.1,Y
P0134,Table Model 134,Home,Home Sub-3,2468.20,1703.06,Metro Wholesale,242,2022-01-07,3.8,Y
P0135,Yoga Mat Model 135,Sports,Sports Sub-4,2485.50,1739.85,Nova Supply,5,2022-01-16,4.5,Y
P0136,Keyboard Model 136,Electronics,Electronics Sub-1,2502.80,1776.99,Prime Traders,18,2022-01-25,2.7,Y
P0137,Jacket Model 137,Fashion,Fashion Sub-2,2520.10,1814.47,Global Mart,31,2022-02-03,3.4,Y
P0138,Tea Model 138,Grocery,Grocery Sub-3,2537.40,1852.30,Vertex Goods,44,2022-02-12,4.1,N
P0139,Lamp Model 139,Home,Home Sub-4,2554.70,1890.48,Metro Wholesale,57,2022-02-21,4.8,Y
P0140,Dumbbell Model 140,Sports,Sports Sub-1,2572.00,1414.60,Nova Supply,70,2022-03-02,3.0,Y
P0141,Mouse Model 141,Electronics,Electronics Sub-2,2589.30,1450.01,Prime Traders,83,2022-03-11,3.7,Y
P0142,Shoes Model 142,Fashion,Fashion Sub-3,2606.60,1485.76,Global Mart,96,2022-03-20,4.4,Y
P0143,Coffee Model 143,Grocery,Grocery Sub-4,2623.90,1521.86,Vertex Goods,109,2022-03-29,2.6,Y
P0144,Mixer Model 144,Home,Home Sub-1,2641.20,1558.31,Metro Wholesale,122,2022-04-07,3.3,Y
P0145,Tennis Racket Model 145,Sports,Sports Sub-2,2658.50,1595.10,Nova Supply,135,2022-04-16,4.0,Y
P0146,Headset Model 146,Electronics,Electronics Sub-3,2675.80,1632.24,Prime Traders,148,2022-04-25,4.7,Y
P0147,Handbag Model 147,Fashion,Fashion Sub-4,2693.10,1669.72,Global Mart,161,2022-05-04,2.9,Y
P0148,Snacks Model 148,Grocery,Grocery Sub-1,2710.40,1707.55,Vertex Goods,174,2022-05-13,3.6,Y
P0149,Cookware Model 149,Home,Home Sub-2,2727.70,1745.73,Metro Wholesale,187,2022-05-22,4.3,Y
P0150,Cricket Bat Model 150,Sports,Sports Sub-3,2745.00,1784.25,Nova Supply,200,2022-05-31,2.5,Y
P0151,Laptop Model 151,Electronics,Electronics Sub-4,2762.30,1823.12,Prime Traders,213,2022-06-09,3.2,Y
P0152,Shirt Model 152,Fashion,Fashion Sub-1,2779.60,1862.33,Global Mart,226,2022-06-18,3.9,Y
P0153,Rice Model 153,Grocery,Grocery Sub-2,2796.90,1901.89,Vertex Goods,239,2022-06-27,4.6,Y
P0154,Chair Model 154,Home,Home Sub-3,2814.20,1941.80,Metro Wholesale,2,2022-07-06,2.8,Y
P0155,Football Model 155,Sports,Sports Sub-4,2831.50,1982.05,Nova Supply,0,2022-07-15,3.5,Y
P0156,Monitor Model 156,Electronics,Electronics Sub-1,2848.80,2022.65,Prime Traders,28,2022-07-24,4.2,Y
P0157,Jeans Model 157,Fashion,Fashion Sub-2,2866.10,2063.59,Global Mart,41,2022-08-02,4.9,Y
P0158,Oil Model 158,Grocery,Grocery Sub-3,2883.40,2104.88,Vertex Goods,54,2022-08-11,3.1,Y
P0159,Table Model 159,Home,Home Sub-4,2900.70,2146.52,Metro Wholesale,67,2022-08-20,3.8,Y
P0160,Yoga Mat Model 160,Sports,Sports Sub-1,2918.00,1604.90,Nova Supply,80,2022-08-29,4.5,Y
P0161,Keyboard Model 161,Electronics,Electronics Sub-2,2935.30,1643.77,Prime Traders,93,2022-09-07,2.7,N
P0162,Jacket Model 162,Fashion,Fashion Sub-3,2952.60,1682.98,Global Mart,106,2022-09-16,3.4,Y
P0163,Tea Model 163,Grocery,Grocery Sub-4,2969.90,1722.54,Vertex Goods,119,2022-09-25,4.1,Y
P0164,Lamp Model 164,Home,Home Sub-1,2987.20,1762.45,Metro Wholesale,132,2022-10-04,4.8,Y
P0165,Dumbbell Model 165,Sports,Sports Sub-2,3004.50,1802.70,Nova Supply,145,2022-10-13,3.0,Y
P0166,Mouse Model 166,Electronics,Electronics Sub-3,3021.80,1843.30,Prime Traders,158,2022-10-22,3.7,Y
P0167,Shoes Model 167,Fashion,Fashion Sub-4,3039.10,1884.24,Global Mart,171,2022-10-31,4.4,Y
P0168,Coffee Model 168,Grocery,Grocery Sub-1,3056.40,1925.53,Vertex Goods,184,2022-11-09,2.6,Y
P0169,Mixer Model 169,Home,Home Sub-2,3073.70,1967.17,Metro Wholesale,197,2022-11-18,3.3,Y
P0170,Tennis Racket Model 170,Sports,Sports Sub-3,3091.00,2009.15,Nova Supply,210,2022-11-27,4.0,Y
P0171,Headset Model 171,Electronics,Electronics Sub-4,3108.30,2051.48,Prime Traders,223,2022-12-06,4.7,Y
P0172,Handbag Model 172,Fashion,Fashion Sub-1,3125.60,2094.15,Global Mart,236,2022-12-15,2.9,Y
P0173,Snacks Model 173,Grocery,Grocery Sub-2,3142.90,2137.17,Vertex Goods,249,2022-12-24,3.6,Y
P0174,Cookware Model 174,Home,Home Sub-3,3160.20,2180.54,Metro Wholesale,12,2023-01-02,4.3,Y
P0175,Cricket Bat Model 175,Sports,Sports Sub-4,3177.50,2224.25,Nova Supply,25,2023-01-11,2.5,Y
P0176,Laptop Model 176,Electronics,Electronics Sub-1,3194.80,2268.31,Prime Traders,38,2023-01-20,3.2,Y
P0177,Shirt Model 177,Fashion,Fashion Sub-2,3212.10,2312.71,Global Mart,51,2023-01-29,3.9,Y
P0178,Rice Model 178,Grocery,Grocery Sub-3,3229.40,,Vertex Goods,64,2023-02-07,4.6,Y
P0179,Chair Model 179,Home,Home Sub-4,3246.70,2402.56,Metro Wholesale,77,2023-02-16,2.8,Y
P0180,Football Model 180,Sports,Sports Sub-1,3264.00,1795.20,Nova Supply,90,2023-02-25,3.5,Y
P0181,Monitor Model 181,Electronics,Electronics Sub-2,3281.30,1837.53,Prime Traders,103,2023-03-06,4.2,Y
P0182,Jeans Model 182,Fashion,Fashion Sub-3,3298.60,1880.20,Global Mart,116,2023-03-15,4.9,Y
P0183,Oil Model 183,Grocery,Grocery Sub-4,3315.90,1923.22,Vertex Goods,129,2023-03-24,3.1,Y
P0184,Table Model 184,Home,Home Sub-1,3333.20,1966.59,Metro Wholesale,142,2023-04-02,3.8,N
P0185,Yoga Mat Model 185,Sports,Sports Sub-2,3350.50,2010.30,Nova Supply,155,2023-04-11,4.5,Y
P0186,Keyboard Model 186,Electronics,Electronics Sub-3,3367.80,2054.36,Prime Traders,0,2023-04-20,2.7,Y
P0187,Jacket Model 187,Fashion,Fashion Sub-4,3385.10,2098.76,Global Mart,181,2023-04-29,3.4,Y
P0188,Tea Model 188,Grocery,Grocery Sub-1,3402.40,2143.51,Vertex Goods,194,2023-05-08,4.1,Y
P0189,Lamp Model 189,Home,Home Sub-2,3419.70,2188.61,Metro Wholesale,207,2023-05-17,4.8,Y
P0190,Dumbbell Model 190,Sports,Sports Sub-3,3437.00,2234.05,Nova Supply,220,2023-05-26,3.0,Y
P0191,Mouse Model 191,Electronics,Electronics Sub-4,3454.30,2279.84,Prime Traders,233,2023-06-04,3.7,Y
P0192,Shoes Model 192,Fashion,Fashion Sub-1,3471.60,2325.97,Global Mart,246,2023-06-13,4.4,Y
P0193,Coffee Model 193,Grocery,Grocery Sub-2,3488.90,2372.45,Vertex Goods,9,2023-06-22,2.6,Y
P0194,Mixer Model 194,Home,Home Sub-3,NA,2419.28,Metro Wholesale,22,2023-07-01,3.3,Y
P0195,Tennis Racket Model 195,Sports,Sports Sub-4,3523.50,2466.45,Nova Supply,35,2023-07-10,4.0,Y
P0196,Headset Model 196,Electronics,Electronics Sub-1,3540.80,2513.97,Prime Traders,48,2023-07-19,4.7,Y
P0197,Handbag Model 197,Fashion,Fashion Sub-2,3558.10,2561.83,Global Mart,61,2023-07-28,2.9,Y
P0198,Snacks Model 198,Grocery,Grocery Sub-3,3575.40,2610.04,Vertex Goods,74,2023-08-06,3.6,Y
P0199,Cookware Model 199,Home,Home Sub-4,3592.70,2658.60,Metro Wholesale,87,2023-08-15,4.3,Y
P0200,Cricket Bat Model 200,Sports,Sports Sub-1,3610.00,1985.50,Nova Supply,100,2023-08-24,2.5,Y
P0201,Laptop Model 201,Electronics,Electronics Sub-2,3627.30,2031.29,Prime Traders,113,2023-09-02,3.2,Y
P0202,Shirt Model 202,Fashion,Fashion Sub-3,3644.60,2077.42,Global Mart,126,2023-09-11,3.9,Y
P0203,Rice Model 203,Grocery,Grocery Sub-4,3661.90,2123.90,Vertex Goods,139,2023-09-20,4.6,Y
P0204,Chair Model 204,Home,Home Sub-1,3679.20,2170.73,Metro Wholesale,152,2023-09-29,2.8,Y
P0205,Football Model 205,Sports,Sports Sub-2,3696.50,2217.90,Nova Supply,165,2023-10-08,3.5,Y
P0206,Monitor Model 206,Electronics,Electronics Sub-3,3713.80,2265.42,Prime Traders,178,2023-10-17,4.2,Y
P0207,Jeans Model 207,Fashion,Fashion Sub-4,3731.10,2313.28,Global Mart,191,2023-10-26,4.9,N
P0208,Oil Model 208,Grocery,Grocery Sub-1,3748.40,2361.49,Vertex Goods,204,2023-11-04,3.1,Y
P0209,Table Model 209,Home,Home Sub-2,3765.70,2410.05,Metro Wholesale,217,2023-11-13,3.8,Y
P0210,Yoga Mat Model 210,Sports,Sports Sub-3,3783.00,2458.95,Nova Supply,230,2023-11-22,4.5,Y
P0211,Keyboard Model 211,Electronics,Electronics Sub-4,3800.30,2508.20,Prime Traders,243,2023-12-01,2.7,Y
P0212,Jacket Model 212,Fashion,Fashion Sub-1,3817.60,2557.79,Global Mart,6,2023-12-10,3.4,Y
P0213,Tea Model 213,Grocery,Grocery Sub-2,3834.90,2607.73,Vertex Goods,19,2023-12-19,4.1,Y
P0214,Lamp Model 214,Home,Home Sub-3,3852.20,2658.02,Metro Wholesale,32,2023-12-28,4.8,Y
P0215,Dumbbell Model 215,Sports,Sports Sub-4,3869.50,2708.65,Nova Supply,45,2024-01-06,3.0,Y
P0216,Mouse Model 216,Electronics,Electronics Sub-1,3886.80,2759.63,Prime Traders,58,2024-01-15,3.7,Y
P0217,Shoes Model 217,Fashion,Fashion Sub-2,3904.10,2810.95,Global Mart,0,2024-01-24,4.4,Y
P0218,Coffee Model 218,Grocery,Grocery Sub-3,3921.40,2862.62,Vertex Goods,84,2024-02-02,2.6,Y
P0219,Mixer Model 219,Home,Home Sub-4,3938.70,2914.64,Metro Wholesale,97,2024-02-11,3.3,Y
P0220,Tennis Racket Model 220,Sports,Sports Sub-1,3956.00,2175.80,Nova Supply,110,2024-02-20,4.0,Y
P0221,Headset Model 221,Electronics,Electronics Sub-2,3973.30,2225.05,Prime Traders,123,2024-02-29,4.7,Y
P0222,Handbag Model 222,Fashion,Fashion Sub-3,3990.60,2274.64,Global Mart,136,2024-03-09,2.9,Y
P0223,Snacks Model 223,Grocery,Grocery Sub-4,4007.90,2324.58,Vertex Goods,149,2024-03-18,3.6,Y
P0224,Cookware Model 224,Home,Home Sub-1,4025.20,2374.87,Metro Wholesale,162,2024-03-27,4.3,Y
P0225,Cricket Bat Model 225,Sports,Sports Sub-2,4042.50,2425.50,Nova Supply,175,2024-04-05,2.5,Y
P0226,Laptop Model 226,Electronics,Electronics Sub-3,4059.80,2476.48,Prime Traders,188,2024-04-14,3.2,Y
P0227,Shirt Model 227,Fashion,Fashion Sub-4,4077.10,2527.80,Global Mart,201,2024-04-23,3.9,Y
P0228,Rice Model 228,Grocery,Grocery Sub-1,4094.40,2579.47,Vertex Goods,214,2024-05-02,4.6,Y
P0229,Chair Model 229,Home,Home Sub-2,4111.70,2631.49,Metro Wholesale,227,2024-05-11,2.8,Y
P0230,Football Model 230,Sports,Sports Sub-3,4129.00,2683.85,Nova Supply,240,2024-05-20,3.5,N
P0231,Monitor Model 231,Electronics,Electronics Sub-4,4146.30,2736.56,Prime Traders,3,2024-05-29,4.2,Y
P0232,Jeans Model 232,Fashion,Fashion Sub-1,4163.60,2789.61,Global Mart,16,2024-06-07,4.9,Y
